Player,Opponent,Result,Points,Total Games
June Lintner [US],Nattanon Wongwiwatchai [TH],L,6,4
June Lintner [US],Matt Maynard [UK],L,6,5
June Lintner [US],Walid Souak [DZ],W,9,6
June Lintner [US],Iker Rodrigo [ES],L,9,7
June Lintner [US],Tomoyuki Tanaka [SG],W,12,8
Ngai Tam [HK],Chung Yin Wong [HK],L,0,1
Ngai Tam [HK],hong sunghyeon [KR],W,3,2
Ngai Tam [HK],Aldo Loyola [MX],W,6,3
Ngai Tam [HK],Daniel Bezerra [BR],W,9,4
Ngai Tam [HK],Collin Heier [US],W,12,5
Ngai Tam [HK],Luca Ceribelli [IT],L,12,6
Ngai Tam [HK],TAKAHIRO FUTAMURA [JP],L,12,7
Ngai Tam [HK],Estephan Valdebenito [CL],L,12,8
Sam Tabner [UK],Ying Kiat Tan [SG],W,3,1
Sam Tabner [UK],Ferdinando Vincenti [IT],W,6,2
Sam Tabner [UK],Joan Garcia [ES],W,9,3
Sam Tabner [UK],Katsuhiko Minami [JP],L,9,4
Sam Tabner [UK],Toby Kongmun [AU],L,9,5
Sam Tabner [UK],Hengyue Zhang [CN],L,9,6
Sam Tabner [UK],Riley Factura [US],W,12,7
Sam Tabner [UK],Juan Lucin [EC],L,12,8
Yuta Ishigaki [JP],Mingi Kim [KR],W,3,1
Yuta Ishigaki [JP],Panyawut Noijan [TH],W,6,2
Yuta Ishigaki [JP],Kian Campbell [US],L,6,3
Yuta Ishigaki [JP],Chase Matteo [US],L,6,4
Yuta Ishigaki [JP],Chih-Chun Liang [TW],W,9,5
Yuta Ishigaki [JP],Max Morales [CR],L,9,6
Yuta Ishigaki [JP],Yuxiang Wang [CN],L,9,7
Yuta Ishigaki [JP],Dawei Si [CN],W,12,8
KAZUKI HATAKEYAMA [JP],Diego Aguirre [CA],W,3,1
KAZUKI HATAKEYAMA [JP],Hsuan-Chih Kuo [NL],L,3,2
KAZUKI HATAKEYAMA [JP],彥博 賴 [TW],W,6,3
KAZUKI HATAKEYAMA [JP],Taeseok Roe [KR],L,6,4
KAZUKI HATAKEYAMA [JP],Stefan Mott [US],L,6,5
KAZUKI HATAKEYAMA [JP],Estephan Valdebenito [CL],L,6,6
KAZUKI HATAKEYAMA [JP],Kota Uchiyama [JP],W,9,7
KAZUKI HATAKEYAMA [JP],Arath Alejandro Vera Almaraz [MX],W,12,8
Nattanon Wongwiwatchai [TH],Rafi Ahmed Ansari [HK],W,3,1
Nattanon Wongwiwatchai [TH],Lewis Tan [AU],W,6,2
Nattanon Wongwiwatchai [TH],Marco Hemantha Kaludura Silva [IT],L,6,3
Nattanon Wongwiwatchai [TH],June Lintner [US],W,9,4
Nattanon Wongwiwatchai [TH],Gabriel Llansó [ES],L,9,5
Nattanon Wongwiwatchai [TH],Aldo Loyola [MX],W,12,6
Nattanon Wongwiwatchai [TH],Hanns Pizarro [PE],L,12,7
Nattanon Wongwiwatchai [TH],Ryan Powney [IE],L,12,8
William Bassolino [IT],Olivia Moledzki [CA],W,3,1
William Bassolino [IT],Jude Gerard Lee Wei Cong [SG],L,3,2
William Bassolino [IT],Matías Díaz [CL],W,6,3
William Bassolino [IT],Christian Dave Vista [PH],L,6,4
William Bassolino [IT],Chuppa Cross IV [US],L,6,5
William Bassolino [IT],David Carrasco [ES],W,9,6
William Bassolino [IT],Kusha Kanani [DE],W,12,7
William Bassolino [IT],Jaesung Lee [KR],L,12,8
Giulio Tarlao [IT],Tomoyuki Tanaka [SG],W,3,1
Giulio Tarlao [IT],Aurélien Soula [FR],L,3,2
Giulio Tarlao [IT],Nicholas Morales [US],L,3,3
Giulio Tarlao [IT],kentaro matsumoto [JP],W,6,4
Giulio Tarlao [IT],Yotam Cohen [US],W,9,5
Giulio Tarlao [IT],Masayoshi Kuroo [AU],L,9,6
Giulio Tarlao [IT],Scott Kennedy [AU],L,9,7
Giulio Tarlao [IT],Luke Kroll [US],W,12,8
Bryce Ong [US],Hunter Braum [US],W,3,1
Bryce Ong [US],yin fung choi [HK],W,6,2
Bryce Ong [US],Yuta Uehara [JP],L,6,3
Bryce Ong [US],Gabriel Llansó [ES],L,6,4
Bryce Ong [US],Vinicius Moscão Junqueira [BR],W,9,5
Bryce Ong [US],Théotime Massaut [FR],L,9,6
Bryce Ong [US],Daniel Yu [US],W,12,7
Bryce Ong [US],Dimitri Koziaris [AU],L,12,8
Eric Rios [ES],Paul Ruiz [EC],L,0,1
Eric Rios [ES],Gonzalo Barrera [PE],W,3,2
Eric Rios [ES],Ernesto Verdugo [MX],W,6,3
Eric Rios [ES],CHIH-HUNG CHIU [TW],L,6,4
Eric Rios [ES],Diego Aguirre [CA],W,9,5
Eric Rios [ES],Giorgio Lorenzo Dela Cuesta [PH],L,9,6
Eric Rios [ES],Ibrahim Maarouf [DE],L,9,7
Eric Rios [ES],Edward Z Fan [HK],W,12,8
Yoshimasa Hayakawa [JP],Lewis Tan [AU],L,0,1
Yoshimasa Hayakawa [JP],Victor Vieira [BR],L,0,2
Yoshimasa Hayakawa [JP],Gonzalo Barrera [PE],W,3,3
Yoshimasa Hayakawa [JP],SHIH-CHUN LO [TW],W,6,4
Yoshimasa Hayakawa [JP],Kaoru Ueki [JP],W,9,5
Yoshimasa Hayakawa [JP],Kiwamu Endo [JP],L,9,6
Yoshimasa Hayakawa [JP],Ben Madigan [AU],L,9,7
Yoshimasa Hayakawa [JP],Michael Vono [CA],W,12,8
Naoto Kiriyama [JP],Kaoru Ueki [JP],W,3,1
Naoto Kiriyama [JP],AYUMU IWASAKI [JP],L,3,2
Naoto Kiriyama [JP],Justin Won [US],W,6,3
Naoto Kiriyama [JP],Brian Collins [US],L,6,4
Naoto Kiriyama [JP],Juan Lucin [EC],L,6,5
Naoto Kiriyama [JP],Ashton Cox [US],L,6,6
Naoto Kiriyama [JP],Kenichi Yanagitani [JP],W,9,7
Naoto Kiriyama [JP],Chase Matteo [US],W,12,8
Ferdinando Vincenti [IT],Mark Mullender [NL],W,3,1
Ferdinando Vincenti [IT],Sam Tabner [UK],L,3,2
Ferdinando Vincenti [IT],Stefan Mott [US],L,3,3
Ferdinando Vincenti [IT],Guilherme Queiroz [BR],W,6,4
Ferdinando Vincenti [IT],Javier Nain [CL],W,9,5
Ferdinando Vincenti [IT],Cheong Suwoong [KR],W,12,6
Ferdinando Vincenti [IT],Marcus Dion [CA],L,12,7
Ferdinando Vincenti [IT],Kylan Van Severen [CA],L,12,8
Mark Cotter [IE],Chin Lien [TW],W,3,1
Mark Cotter [IE],Ruben Gianzini [IT],L,3,2
Mark Cotter [IE],Daniel Marcelo Reyes [US],W,6,3
Mark Cotter [IE],Diego Aguirre [CA],W,9,4
Mark Cotter [IE],Oliver Eskolin [FI],L,9,5
Mark Cotter [IE],Dorian Quiñonez [PE],L,9,6
Mark Cotter [IE],Edward Z Fan [HK],W,12,7
Mark Cotter [IE],Jim Sullivan [AU],L,12,8
Ryotaro Kimura [JP],Dyl Yeomans [UK],W,3,1
Ryotaro Kimura [JP],TAKAHIRO FUTAMURA [JP],L,3,2
Ryotaro Kimura [JP],Kazuki Ogushi [JP],L,3,3
Ryotaro Kimura [JP],Ryan Haig [US],L,3,4
Ryotaro Kimura [JP],Oliver Ramsay [AU],L,3,5
Ryotaro Kimura [JP],Chieh Ling Li [TW],W,6,6
Ryotaro Kimura [JP],Kazuya Shiraishi [JP],W,9,7
Ryotaro Kimura [JP],Rahim Farzan [DE],W,12,8
Toler Webb [US],Jittarin Rojmahamongkol [TH],L,0,1
Toler Webb [US],Chin Lien [TW],W,3,2
Toler Webb [US],Rain Hizola [PH],W,6,3
Toler Webb [US],Dimitri Koziaris [AU],L,6,4
Toler Webb [US],Hiroki Kimura [JP],W,9,5
Toler Webb [US],Matteo Velata [IT],L,9,6
Toler Webb [US],Matthew So [US],W,12,7
Toler Webb [US],Angelo Piscitelli [IT],L,12,8
Ryan Loseto [CA],JEONGBIN CHO [KR],W,3,1
Ryan Loseto [CA],Dimitri Koziaris [AU],L,3,2
Ryan Loseto [CA],ChihChun Chen [TW],W,6,3
Ryan Loseto [CA],Eric Bush [US],W,9,4
Ryan Loseto [CA],Cedric Bernier [US],L,9,5
Ryan Loseto [CA],Bruno Rebello [BR],L,9,6
Ryan Loseto [CA],Hidetsuna Shimizu [JP],W,12,7
Ryan Loseto [CA],くにのり 田中邦宜 [JP],L,12,8
Yuxiang Wang [CN],Yuma Kinugawa [JP],L,0,1
Yuxiang Wang [CN],Min Jun Oh [KR],W,3,2
Yuxiang Wang [CN],Takumi Okuo [JP],L,3,3
Yuxiang Wang [CN],Haruki Sato [JP],W,6,4
Yuxiang Wang [CN],Nils Dunlop [SE],L,6,5
Yuxiang Wang [CN],Xavier Méndez [MX],W,9,6
Yuxiang Wang [CN],Yuta Ishigaki [JP],W,12,7
Yuxiang Wang [CN],Nicholas Kan [AU],L,12,8
彥博 賴 [TW],Louis Milich [US],L,0,1
彥博 賴 [TW],Ben Grissmer [US],W,3,2
彥博 賴 [TW],KAZUKI HATAKEYAMA [JP],L,3,3
彥博 賴 [TW],Jiven Reddy [ZA],W,6,4
彥博 賴 [TW],Roman Manukjan [DE],W,9,5
彥博 賴 [TW],Eric Bush [US],W,12,6
彥博 賴 [TW],Kevin Salvetto [IT],L,12,7
彥博 賴 [TW],Norah Bowman [US],L,12,8
Gabriel Llansó [ES],Kazuma Sobashima [JP],L,0,1
Gabriel Llansó [ES],Zhe Zhang [CN],W,3,2
Gabriel Llansó [ES],cristhian andrade [BR],W,6,3
Gabriel Llansó [ES],Bryce Ong [US],W,9,4
Gabriel Llansó [ES],Nattanon Wongwiwatchai [TH],W,12,5
Gabriel Llansó [ES],Alister Sandover [AU],L,12,6
Gabriel Llansó [ES],Antonio Sánchez [ES],L,12,7
Gabriel Llansó [ES],Iker Rodrigo [ES],L,12,8
Kaoru Ueki [JP],Naoto Kiriyama [JP],L,0,1
Kaoru Ueki [JP],Federico Camporesi [IT],W,3,2
Kaoru Ueki [JP],Len Deuel [US],L,3,3
Kaoru Ueki [JP],PING-JUNG LEE [TW],W,6,4
Kaoru Ueki [JP],Yoshimasa Hayakawa [JP],L,6,5
Kaoru Ueki [JP],Omar Acuña Acevedo [CL],W,9,6
Kaoru Ueki [JP],Witsarut Buadit [TH],W,12,7
Kaoru Ueki [JP],Katsuhiko Minami [JP],L,12,8
Dominic Vogel [US],Naoto Kishida [JP],L,0,1
Dominic Vogel [US],Hirotoshi Mori [JP],L,0,2
Dominic Vogel [US],Jeudy Azzarelli [US],W,3,3
Dominic Vogel [US],Eden Batchelor [UK],W,6,4
Dominic Vogel [US],Paul Oliver Bautista [PH],W,9,5
Dominic Vogel [US],Billy James Cubillan [PH],W,12,6
Dominic Vogel [US],ginjiro shiraki [JP],L,12,7
Dominic Vogel [US],Mingi Kim [KR],L,12,8
Ryosuke Kosuge [JP],Alessio Ferrara [IT],W,3,1
Ryosuke Kosuge [JP],PIN CHUN LIN [TW],L,3,2
Ryosuke Kosuge [JP],Junxi Zhu [US],L,3,3
Ryosuke Kosuge [JP],Jin Yang Lee [MY],W,6,4
Ryosuke Kosuge [JP],Adrián Isidoro [ES],W,9,5
Ryosuke Kosuge [JP],くにのり 田中邦宜 [JP],L,9,6
Ryosuke Kosuge [JP],Shonosuke Ikari [JP],W,12,7
Ryosuke Kosuge [JP],Christian Mossati [AU],L,12,8
Mark Mullender [NL],Ferdinando Vincenti [IT],L,0,1
Mark Mullender [NL],Francesco Pio Pero [IT],L,0,2
Mark Mullender [NL],Shawn Tang [SG],W,3,3
Mark Mullender [NL],Shohei Asakura [JP],L,3,4
Mark Mullender [NL],Javier Freire [ES],W,6,5
Mark Mullender [NL],David Rodriguez [CR],W,9,6
Mark Mullender [NL],Ryan Haig [US],W,12,7
Mark Mullender [NL],Markus Hamann [DE],L,12,8
Riley Factura [US],juan salerno [AR],L,0,1
Riley Factura [US],Kazuki Ogushi [JP],L,0,2
Riley Factura [US],Min Jun Oh [KR],W,3,3
Riley Factura [US],KEVIN LAN [TW],W,6,4
Riley Factura [US],wataru kawashima [JP],W,9,5
Riley Factura [US],Lorenzo Silvestrini [IT],L,9,6
Riley Factura [US],Sam Tabner [UK],L,9,7
Riley Factura [US],Marco Antonio Rodriguez Garcia [MX],W,12,8
Diego Aguirre [CA],KAZUKI HATAKEYAMA [JP],L,0,1
Diego Aguirre [CA],Markus Hamann [DE],W,3,2
Diego Aguirre [CA],Raj Desai [IE],W,6,3
Diego Aguirre [CA],Mark Cotter [IE],L,6,4
Diego Aguirre [CA],Eric Rios [ES],L,6,5
Diego Aguirre [CA],Chih-Chun Liang [TW],W,9,6
Diego Aguirre [CA],Genting Liu [CN],W,12,7
Diego Aguirre [CA],Forhad Chodhoury [ES],L,12,8
Ernesto Verdugo [MX],Yosuke Takayanagi [JP],W,3,1
Ernesto Verdugo [MX],Narawitch Naenna [TH],L,3,2
Ernesto Verdugo [MX],Eric Rios [ES],L,3,3
Ernesto Verdugo [MX],Chuppa Cross IV [US],L,3,4
Ernesto Verdugo [MX],Eden Batchelor [UK],W,6,5
Ernesto Verdugo [MX],Koji Kanamori [JP],W,9,6
Ernesto Verdugo [MX],Mingi Kim [KR],L,9,7
Ernesto Verdugo [MX],David Rodriguez [CR],W,12,8
Ben Madigan [AU],Hiroki Kimura [JP],W,3,1
Ben Madigan [AU],Sebastian Rodriguez [PE],L,3,2
Ben Madigan [AU],Eric Bush [US],L,3,3
Ben Madigan [AU],Daniel Marcelo Reyes [US],L,3,4
Ben Madigan [AU],Shai Giuseppe Rabà [IT],W,6,5
Ben Madigan [AU],Lorenzo Arce [US],W,9,6
Ben Madigan [AU],Yoshimasa Hayakawa [JP],W,12,7
Ben Madigan [AU],Jin-Hao Jiang [TW],L,12,8
Giovanni Costa [US],Marco Antonio Rodriguez Garcia [MX],W,3,1
Giovanni Costa [US],Raj Desai [IE],W,6,2
Giovanni Costa [US],Gavin Michaels [US],L,6,3
Giovanni Costa [US],Andrew Zheng [US],L,6,4
Giovanni Costa [US],Manuel Hernandez Marin [ES],W,9,5
Giovanni Costa [US],Iker Rodrigo [ES],W,12,6
Giovanni Costa [US],Max Morales [CR],L,12,7
Ryan Paulo Pareja [PH],Tanner Mask [US],W,3,1
Ryan Paulo Pareja [PH],Lorenzo Silvestrini [IT],L,3,2
Ryan Paulo Pareja [PH],Sam Pandelis [AU],L,3,3
Ryan Paulo Pareja [PH],Ibrahim Maarouf [DE],W,6,4
Ryan Paulo Pareja [PH],Ashton Cox [US],L,6,5
Ryan Paulo Pareja [PH],kazuki kobayashi [JP],W,9,6
Ryan Paulo Pareja [PH],Renzo Navarro [PE],L,9,7
Ryan Paulo Pareja [PH],Genting Liu [CN],W,12,8
Adam Cherfaoui [FR],ChihChun Chen [TW],W,3,1
Adam Cherfaoui [FR],Zachary Chia [SG],W,6,2
Adam Cherfaoui [FR],Yuki Tanaka [JP],L,6,3
Adam Cherfaoui [FR],WEI CHYR [TW],L,6,4
Adam Cherfaoui [FR],Cruz Ting [TW],L,6,5
Adam Cherfaoui [FR],Tomoki Kinoshita [JP],W,9,6
Adam Cherfaoui [FR],Norah Bowman [US],L,9,7
Adam Cherfaoui [FR],yin fung choi [HK],W,12,8
David Carrasco [ES],Cary D'Ortona [US],L,0,1
David Carrasco [ES],Toby Kongmun [AU],L,0,2
David Carrasco [ES],nicolas del campo [CL],W,3,3
David Carrasco [ES],Hirotoshi Mori [JP],W,6,4
David Carrasco [ES],Luke Kroll [US],L,6,5
David Carrasco [ES],William Bassolino [IT],L,6,6
David Carrasco [ES],SHIH-CHUN LO [TW],W,9,7
David Carrasco [ES],Nicolò Pollato [IT],W,12,8
William Holtsbaum [CA],yin fung choi [HK],L,0,1
William Holtsbaum [CA],Genting Liu [CN],W,3,2
William Holtsbaum [CA],Paul Chua [US],L,3,3
William Holtsbaum [CA],Donguk Jung [KR],W,6,4
William Holtsbaum [CA],Hidetsuna Shimizu [JP],L,6,5
William Holtsbaum [CA],Marco Antonio Rodriguez Garcia [MX],W,9,6
William Holtsbaum [CA],Jean López [CR],W,12,7
William Holtsbaum [CA],Paul Ruiz [EC],L,12,8
ZHIYUAN WANG [CN],Kenichi Yanagitani [JP],L,0,1
ZHIYUAN WANG [CN],Rahim Farzan [DE],W,3,2
ZHIYUAN WANG [CN],Adam Colson [US],W,6,3
ZHIYUAN WANG [CN],Andrew Ding [US],L,6,4
ZHIYUAN WANG [CN],Hengyue Zhang [CN],L,6,5
ZHIYUAN WANG [CN],Gonzalo Barrera [PE],W,9,6
ZHIYUAN WANG [CN],Daniel Nuñez [MX],W,12,7
ZHIYUAN WANG [CN],Aurélien Soula [FR],L,12,8
Oscar Gilley [UK],Panyawut Noijan [TH],L,0,1
Oscar Gilley [UK],Hunter Braum [US],W,3,2
Oscar Gilley [UK],Emily Parson [US],W,6,3
Oscar Gilley [UK],Victor Jimenez Coll [ES],L,6,4
Oscar Gilley [UK],TSE-YU LIN [TW],W,9,5
Oscar Gilley [UK],Matthew So [US],W,12,6
Oscar Gilley [UK],Joshua Denk [US],L,12,7
Oscar Gilley [UK],Diego Ferreira [AU],L,12,8
Davide Carrer [IT],Billy James Cubillan [PH],L,0,1
Davide Carrer [IT],Flavio Del Pidio [IT],L,0,2
Davide Carrer [IT],Zhe Zhang [CN],W,3,3
Davide Carrer [IT],Raj Desai [IE],W,6,4
Davide Carrer [IT],Daniel Bezerra [BR],L,6,5
Davide Carrer [IT],Jonathan Zuniga [US],W,9,6
Davide Carrer [IT],Aurélien Soula [FR],L,9,7
Davide Carrer [IT],Sidy Badiane [IT],W,12,8
Koji Kanamori [JP],Simon Bernard [AT],L,0,1
Koji Kanamori [JP],Mingi Kim [KR],L,0,2
Koji Kanamori [JP],Marco Antonio Rodriguez Garcia [MX],W,3,3
Koji Kanamori [JP],Justin Won [US],W,6,4
Koji Kanamori [JP],Marcus Koh [SG],L,6,5
Koji Kanamori [JP],Ernesto Verdugo [MX],L,6,6
Koji Kanamori [JP],Hirotoshi Mori [JP],W,9,7
Koji Kanamori [JP],Chih-Chun Liang [TW],W,12,8
Jonathan Zuniga [US],Andrew Figueras [US],L,0,1
Jonathan Zuniga [US],Antonio Sánchez [ES],L,0,2
Jonathan Zuniga [US],Markus Hamann [DE],L,0,3
Jonathan Zuniga [US],Dawei Si [CN],W,3,4
Jonathan Zuniga [US],Darsh Patel [US],W,6,5
Jonathan Zuniga [US],Davide Carrer [IT],L,6,6
Jonathan Zuniga [US],Jin Yang Lee [MY],W,9,7
Jonathan Zuniga [US],Yotam Cohen [US],W,12,8
PING-JUNG LEE [TW],Marcus Koh [SG],L,0,1
PING-JUNG LEE [TW],Oliver Eskolin [FI],L,0,2
PING-JUNG LEE [TW],Arthur Mosca [MX],W,3,3
PING-JUNG LEE [TW],Kaoru Ueki [JP],L,3,4
PING-JUNG LEE [TW],Selahattin Sturm [DE],W,6,5
PING-JUNG LEE [TW],Manuel Hernandez Marin [ES],W,9,6
PING-JUNG LEE [TW],Joseph Ugarte [US],L,9,7
PING-JUNG LEE [TW],Roman Manukjan [DE],W,12,8
kentaro matsumoto [JP],Tomoki Kinoshita [JP],L,0,1
kentaro matsumoto [JP],Daniel Yu [US],W,3,2
kentaro matsumoto [JP],Billy James Cubillan [PH],L,3,3
kentaro matsumoto [JP],Giulio Tarlao [IT],L,3,4
kentaro matsumoto [JP],keisuke koga [JP],W,6,5
kentaro matsumoto [JP],wataru kawashima [JP],W,9,6
kentaro matsumoto [JP],Jack Clarke [UK],L,9,7
kentaro matsumoto [JP],Samuel Pereira [ES],W,12,8
Ibrahim Maarouf [DE],Yuki Ishikawa [JP],L,0,1
Ibrahim Maarouf [DE],Ying Kiat Tan [SG],W,3,2
Ibrahim Maarouf [DE],Javier Nain [CL],L,3,3
Ibrahim Maarouf [DE],Ryan Paulo Pareja [PH],L,3,4
Ibrahim Maarouf [DE],Justin Won [US],W,6,5
Ibrahim Maarouf [DE],Benny Vasquez [US],W,9,6
Ibrahim Maarouf [DE],Eric Rios [ES],W,12,7
Ibrahim Maarouf [DE],Dylan Salvanera [US],L,12,8
CHENG-LIN LEE [TW],Galo Orbea [EC],L,0,1
CHENG-LIN LEE [TW],Omar Acuña Acevedo [CL],L,0,2
CHENG-LIN LEE [TW],Federico Camporesi [IT],L,0,3
CHENG-LIN LEE [TW],Kota Uchiyama [JP],W,3,4
CHENG-LIN LEE [TW],Hirotoshi Mori [JP],W,6,5
CHENG-LIN LEE [TW],Javier Ponce [CL],W,9,6
CHENG-LIN LEE [TW],Dyl Yeomans [UK],L,9,7
CHENG-LIN LEE [TW],Andrew Figueras [US],W,12,8
KEVIN LAN [TW],Zachary Mnich [US],L,0,1
KEVIN LAN [TW],Tsz Tung NG [HK],L,0,2
KEVIN LAN [TW],James Katsaros [AU],W,3,3
KEVIN LAN [TW],Riley Factura [US],L,3,4
KEVIN LAN [TW],HIROKI KUSAFUKA [JP],W,6,5
KEVIN LAN [TW],Shohei Asakura [JP],L,6,6
KEVIN LAN [TW],Haruki Sato [JP],W,9,7
KEVIN LAN [TW],Caelan Brown [US],W,12,8
Benny Vasquez [US],Narawitch Naenna [TH],L,0,1
Benny Vasquez [US],Hanns Pizarro [PE],L,0,2
Benny Vasquez [US],Daniel Nuñez [MX],L,0,3
Benny Vasquez [US],Min Jun Oh [KR],W,3,4
Benny Vasquez [US],Rishi Gupta [US],W,6,5
Benny Vasquez [US],Ibrahim Maarouf [DE],L,6,6
Benny Vasquez [US],Gonzalo Barrera [PE],W,9,7
Benny Vasquez [US],TSE-YU LIN [TW],W,12,8
Kusha Kanani [DE],Guilherme Queiroz [BR],L,0,1
Kusha Kanani [DE],JEONGBIN CHO [KR],W,3,2
Kusha Kanani [DE],Takumi Kamisugi [JP],L,3,3
Kusha Kanani [DE],Zachary Chia [SG],W,6,4
Kusha Kanani [DE],Kazuya Shiraishi [JP],W,9,5
Kusha Kanani [DE],Nikolaj Høj Nielsen [DK],L,9,6
Kusha Kanani [DE],William Bassolino [IT],L,9,7
Kusha Kanani [DE],Xavier Méndez [MX],W,12,8
Marco Hemantha Kaludura Silva [IT],Juan Lucin [EC],W,3,1
Marco Hemantha Kaludura Silva [IT],Michael Kelsch [DE],W,6,2
Marco Hemantha Kaludura Silva [IT],Nattanon Wongwiwatchai [TH],W,9,3
Marco Hemantha Kaludura Silva [IT],Mao Harada [JP],L,9,4
Marco Hemantha Kaludura Silva [IT],JENN-CHAU DUH [TW],L,9,5
Marco Hemantha Kaludura Silva [IT],Alberto Cañuelo Gómez [ES],L,9,6
Gavin Michaels [US],Forhad Chodhoury [ES],W,3,1
Gavin Michaels [US],Guilherme Queiroz [BR],W,6,2
Gavin Michaels [US],Giovanni Costa [US],W,9,3
Gavin Michaels [US],Joji Kaieda [AU],L,9,4
Gavin Michaels [US],Hsuan-Chih Kuo [NL],L,9,5
Gavin Michaels [US],juan salerno [AR],L,9,6
Max Musumeci [IE],Dillon Kleinvehn [US],W,3,1
Max Musumeci [IE],Joji Kaieda [AU],L,3,2
Max Musumeci [IE],Dyl Yeomans [UK],W,6,3
Max Musumeci [IE],Nick Navarre [US],L,6,4
Max Musumeci [IE],Aditya Subramanian [US],W,9,5
Max Musumeci [IE],Seiya Koyasu [JP],L,9,6
Max Musumeci [IE],Marco Marras [IT],L,9,7
Takumi Kamisugi [JP],Raghav Malaviya [US],L,0,1
Takumi Kamisugi [JP],Tanner Mask [US],W,3,2
Takumi Kamisugi [JP],Kusha Kanani [DE],W,6,3
Takumi Kamisugi [JP],Ashton Cox [US],W,9,4
Takumi Kamisugi [JP],Carlos Cabal [ES],L,9,5
Takumi Kamisugi [JP],Yuta Uehara [JP],L,9,6
Arath Alejandro Vera Almaraz [MX],Michael Vono [CA],W,3,1
Arath Alejandro Vera Almaraz [MX],juan salerno [AR],W,6,2
Arath Alejandro Vera Almaraz [MX],Giovanni Cischke [US],L,6,3
Arath Alejandro Vera Almaraz [MX],Kiwamu Endo [JP],L,6,4
Arath Alejandro Vera Almaraz [MX],Diego Ferreira [AU],W,9,5
Arath Alejandro Vera Almaraz [MX],ginjiro shiraki [JP],L,9,6
Arath Alejandro Vera Almaraz [MX],Oliver Ramsay [AU],L,9,7
Arath Alejandro Vera Almaraz [MX],KAZUKI HATAKEYAMA [JP],L,9,8
Ryan Haig [US],Genting Liu [CN],W,3,1
Ryan Haig [US],Takuto Notohara [JP],L,3,2
Ryan Haig [US],CHIH-HUNG CHIU [TW],L,3,3
Ryan Haig [US],Ryotaro Kimura [JP],W,6,4
Ryan Haig [US],Jack Clarke [UK],W,9,5
Ryan Haig [US],Lewis Tan [AU],L,9,6
Ryan Haig [US],Mark Mullender [NL],L,9,7
Vinicius Moscão Junqueira [BR],Diego Ferreira [AU],W,3,1
Vinicius Moscão Junqueira [BR],Nicholas Morales [US],W,6,2
Vinicius Moscão Junqueira [BR],Zee Costagliola [US],L,6,3
Vinicius Moscão Junqueira [BR],Kazuki Ogushi [JP],L,6,4
Vinicius Moscão Junqueira [BR],Bryce Ong [US],L,6,5
Vinicius Moscão Junqueira [BR],Aaron Traylor [US],W,9,6
Junxi Zhu [US],Donguk Jung [KR],W,3,1
Junxi Zhu [US],Christian Dave Vista [PH],L,3,2
Junxi Zhu [US],Ryosuke Kosuge [JP],W,6,3
Junxi Zhu [US],Kevin Salvetto [IT],W,9,4
Junxi Zhu [US],CHIH-HUNG CHIU [TW],L,9,5
Junxi Zhu [US],TAKAHIRO FUTAMURA [JP],L,9,6
Luca Paz [US],Renzo Navarro [PE],W,3,1
Luca Paz [US],Kimitake Ikarashi [JP],L,3,2
Luca Paz [US],Nils Dunlop [SE],W,6,3
Luca Paz [US],Lorenzo Silvestrini [IT],L,6,4
Luca Paz [US],Aaron Traylor [US],W,9,5
Luca Paz [US],Stefan Mott [US],L,9,6
Samuel Pereira [ES],Ryoma Okamoto [JP],L,0,1
Samuel Pereira [ES],Michael Vono [CA],W,3,2
Samuel Pereira [ES],juan salerno [AR],W,6,3
Samuel Pereira [ES],Kylan Van Severen [CA],W,9,4
Samuel Pereira [ES],Zachary Weed [US],L,9,5
Samuel Pereira [ES],choi jeongkyu [KR],L,9,6
Samuel Pereira [ES],Angelo Piscitelli [IT],L,9,7
Samuel Pereira [ES],kentaro matsumoto [JP],L,9,8
Andrew Ding [US],Roberto Parente [IT],W,3,1
Andrew Ding [US],Adrián Isidoro [ES],W,6,2
Andrew Ding [US],Sebastian Rodriguez [PE],L,6,3
Andrew Ding [US],ZHIYUAN WANG [CN],W,9,4
Andrew Ding [US],Shunsuke Minami [JP],L,9,5
Andrew Ding [US],Daniel Marcelo Reyes [US],L,9,6
Daniel Bezerra [BR],Roman Manukjan [DE],W,3,1
Daniel Bezerra [BR],Sam Pandelis [AU],W,6,2
Daniel Bezerra [BR],Louis Markl [DE],L,6,3
Daniel Bezerra [BR],Ngai Tam [HK],L,6,4
Daniel Bezerra [BR],Davide Carrer [IT],W,9,5
Daniel Bezerra [BR],Joshua Denk [US],L,9,6
Xicheng Pan [CN],Luke Kroll [US],W,3,1
Xicheng Pan [CN],Daanvir Singh Narula [SG],L,3,2
Xicheng Pan [CN],Seongjae Jeong [KR],W,6,3
Xicheng Pan [CN],yin fung choi [HK],W,9,4
Xicheng Pan [CN],Taran Birdee [UK],L,9,5
Xicheng Pan [CN],Munenori Okumura [JP],L,9,6
Jean López [CR],Ko Tsukide [JP],L,0,1
Jean López [CR],Donguk Jung [KR],W,3,2
Jean López [CR],Taran Birdee [UK],L,3,3
Jean López [CR],Rahim Farzan [DE],W,6,4
Jean López [CR],cristhian andrade [BR],W,9,5
Jean López [CR],Matt Maynard [UK],L,9,6
Jean López [CR],William Holtsbaum [CA],L,9,7
