Player,Opponent,Result,Points,Total Games
Shunsuke Minami [JP],Hirotoshi Mori [JP],W,6,3
Shunsuke Minami [JP],Narawitch Naenna [TH],W,9,4
Shunsuke Minami [JP],Andrew Ding [US],W,12,5
Shunsuke Minami [JP],Michael Navas [AU],W,15,6
Shunsuke Minami [JP],Takuto Notohara [JP],W,18,7
Shunsuke Minami [JP],Jude Gerard Lee Wei Cong [SG],W,21,8
Shunsuke Minami [JP],Hirofumi Kimura [JP],L,21,9
Shunsuke Minami [JP],Aaron Brok [US],L,21,10
Victor Vieira [BR],Adrián Isidoro [ES],L,0,1
Victor Vieira [BR],Yoshimasa Hayakawa [JP],W,3,2
Victor Vieira [BR],Estephan Valdebenito [CL],L,3,3
Victor Vieira [BR],Mitch Kendrick [AU],W,6,4
Victor Vieira [BR],Tomoyuki Tanaka [SG],W,9,5
Victor Vieira [BR],Aurélien Soula [FR],W,12,6
Victor Vieira [BR],Jack Roth [AU],W,15,7
Victor Vieira [BR],Antonio Sánchez [ES],W,18,8
Victor Vieira [BR],Takuto Notohara [JP],W,21,9
Victor Vieira [BR],Michael Kelsch [DE],L,21,10
Wolfe Glick [US],Diego Gutierrez [PE],W,3,1
Wolfe Glick [US],Raghav Malaviya [US],L,3,2
Wolfe Glick [US],Javier Freire [ES],W,6,3
Wolfe Glick [US],Yan Sym [BR],L,6,4
Wolfe Glick [US],Francisco Trigo [CL],W,9,5
Wolfe Glick [US],Jittarin Rojmahamongkol [TH],W,12,6
Wolfe Glick [US],Joseph Martin [UK],W,15,7
Wolfe Glick [US],Marcus Dion [CA],W,18,8
Wolfe Glick [US],CHIH-HUNG CHIU [TW],L,18,9
Wolfe Glick [US],ALEX UNDERHILL [US],W,21,10
Nils Dunlop [SE],Matthew So [US],L,0,1
Nils Dunlop [SE],Diego Gutierrez [PE],W,3,2
Nils Dunlop [SE],Luca Paz [US],L,3,3
